symbol,timestamp,open,high,low,close,volume,trade_count,vwap,dollar_volume,prediction
PCG,2025-08-20 13:18:00-04:00,15.425,15.43,15.42,15.43,46621.0,189.0,15.429084,719362.03,0
PCG,2025-08-20 13:19:00-04:00,15.43,15.43,15.41,15.41,20703.0,129.0,15.422029,319033.23,0
PCG,2025-08-20 13:20:00-04:00,15.4142,15.4289,15.41,15.4289,43436.0,145.0,15.418122,670169.7004,0
PCG,2025-08-20 13:21:00-04:00,15.425,15.425,15.415,15.415,8687.0,72.0,15.419345,133910.10499999998,0
PCG,2025-08-20 13:22:00-04:00,15.415,15.415,15.415,15.415,2717.0,31.0,15.415,41882.555,0
PCG,2025-08-20 13:23:00-04:00,15.415,15.4158,15.4,15.4,11031.0,96.0,15.409939,169877.4,0
PCG,2025-08-20 13:24:00-04:00,15.4,15.405,15.4,15.405,3582.0,36.0,15.404169,55180.71,0
PCG,2025-08-20 13:25:00-04:00,15.4001,15.4001,15.395,15.3972,37377.0,134.0,15.396821,575501.1444,0
PCG,2025-08-20 13:26:00-04:00,15.395,15.395,15.385,15.385,10955.0,86.0,15.389962,168542.675,0
PCG,2025-08-20 13:27:00-04:00,15.3809,15.385,15.3809,15.385,6955.0,35.0,15.382347,107002.675,0
PCG,2025-08-20 13:28:00-04:00,15.385,15.39,15.38,15.39,9102.0,55.0,15.385622,140079.78,0
PCG,2025-08-20 13:29:00-04:00,15.385,15.39,15.37,15.37,14142.0,112.0,15.38132,217362.54,0
PCG,2025-08-20 13:30:00-04:00,15.37,15.385,15.37,15.385,35898.0,132.0,15.379395,552290.73,2
PCG,2025-08-20 13:31:00-04:00,15.385,15.415,15.385,15.415,69604.0,292.0,15.39688,1072945.66,0
PCG,2025-08-20 13:32:00-04:00,15.415,15.435,15.411,15.435,46841.0,176.0,15.42215,722990.8350000001,0
PCG,2025-08-20 13:33:00-04:00,15.435,15.44,15.43,15.435,14937.0,67.0,15.435494,230552.595,0
PCG,2025-08-20 13:34:00-04:00,15.435,15.44,15.4346,15.435,20426.0,111.0,15.437388,315275.31,0
PCG,2025-08-20 13:35:00-04:00,15.435,15.45,15.435,15.45,41301.0,149.0,15.439417,638100.45,0
PCG,2025-08-20 13:36:00-04:00,15.445,15.46,15.4447,15.46,28786.0,122.0,15.450452,445031.56,0
PCG,2025-08-20 13:37:00-04:00,15.455,15.46,15.455,15.455,11965.0,81.0,15.455776,184919.075,0
PCG,2025-08-20 13:38:00-04:00,15.455,15.455,15.44,15.445,44353.0,149.0,15.447601,685032.085,0
PCG,2025-08-20 13:39:00-04:00,15.445,15.445,15.445,15.445,9712.0,72.0,15.445,150001.84,0
PCG,2025-08-20 13:40:00-04:00,15.445,15.45,15.44,15.445,14907.0,80.0,15.444792,230238.615,0
PCG,2025-08-20 13:41:00-04:00,15.445,15.45,15.43,15.445,54702.0,229.0,15.43995,844872.39,0
PCG,2025-08-20 13:42:00-04:00,15.445,15.47,15.445,15.47,96787.0,185.0,15.453721,1497294.89,0
PCG,2025-08-20 13:43:00-04:00,15.465,15.47,15.4642,15.465,5005.0,35.0,15.465191,77402.325,0
PCG,2025-08-20 13:44:00-04:00,15.465,15.47,15.46,15.465,33224.0,150.0,15.467956,513809.16,0
PCG,2025-08-20 13:45:00-04:00,15.465,15.465,15.445,15.445,30749.0,147.0,15.456696,474918.305,0
PCG,2025-08-20 13:46:00-04:00,15.445,15.45,15.44,15.44,11822.0,89.0,15.445227,182531.68,0
PCG,2025-08-20 13:47:00-04:00,15.445,15.445,15.43,15.435,16721.0,109.0,15.439166,258088.635,0
PCG,2025-08-20 13:48:00-04:00,15.4345,15.455,15.4345,15.45,34426.0,157.0,15.44408,531881.7,0
PCG,2025-08-20 13:49:00-04:00,15.455,15.46,15.45,15.455,25636.0,103.0,15.455976,396204.38,0
PCG,2025-08-20 13:50:00-04:00,15.4555,15.46,15.455,15.455,5192.0,62.0,15.456545,80242.36,0
PCG,2025-08-20 13:51:00-04:00,15.455,15.47,15.455,15.465,58359.0,161.0,15.457333,902521.935,0
PCG,2025-08-20 13:52:00-04:00,15.465,15.475,15.465,15.465,18417.0,101.0,15.469205,284818.905,0
PCG,2025-08-20 13:53:00-04:00,15.465,15.47,15.465,15.47,10304.0,84.0,15.467553,159402.88,0
PCG,2025-08-20 13:54:00-04:00,15.47,15.47,15.46,15.47,32882.0,130.0,15.469525,508684.54,0
PCG,2025-08-20 13:55:00-04:00,15.47,15.47,15.46,15.465,7394.0,49.0,15.463576,114348.21,0
PCG,2025-08-20 13:56:00-04:00,15.465,15.48,15.4621,15.48,10881.0,84.0,15.473022,168437.88,0
PCG,2025-08-20 13:57:00-04:00,15.475,15.49,15.475,15.485,14099.0,81.0,15.481977,218323.015,0
PCG,2025-08-20 13:58:00-04:00,15.485,15.49,15.48,15.485,51667.0,214.0,15.486855,800063.495,0
PCG,2025-08-20 13:59:00-04:00,15.485,15.4897,15.48,15.48,15139.0,115.0,15.482232,234351.72,0
PCG,2025-08-20 14:00:00-04:00,15.48,15.49,15.475,15.475,34566.0,200.0,15.479479,534908.85,0
PCG,2025-08-20 14:01:00-04:00,15.475,15.475,15.47,15.47,5456.0,39.0,15.473162,84404.32,0
PCG,2025-08-20 14:02:00-04:00,15.475,15.48,15.47,15.475,14918.0,85.0,15.472067,230856.05,0
PCG,2025-08-20 14:03:00-04:00,15.47,15.475,15.455,15.455,16177.0,131.0,15.467216,250015.535,0
PCG,2025-08-20 14:04:00-04:00,15.455,15.465,15.455,15.455,14213.0,74.0,15.459267,219661.915,0
PCG,2025-08-20 14:05:00-04:00,15.45,15.45,15.435,15.4377,12066.0,122.0,15.446111,186271.2882,0
PCG,2025-08-20 14:06:00-04:00,15.435,15.445,15.435,15.445,12753.0,46.0,15.442188,196970.085,0
PCG,2025-08-20 14:07:00-04:00,15.445,15.445,15.44,15.445,3855.0,23.0,15.440564,59540.475,0
PCG,2025-08-20 14:08:00-04:00,15.445,15.455,15.445,15.455,18924.0,84.0,15.449204,292470.42,0
PCG,2025-08-20 14:09:00-04:00,15.455,15.455,15.445,15.445,14364.0,64.0,15.448221,221851.98,2
PCG,2025-08-20 14:10:00-04:00,15.445,15.45,15.445,15.45,6598.0,48.0,15.445806,101939.1,2
