return,drawdown,sl,tp,std_n,sim_threshold
28.586801499998998,0.9811213795352882,3.0,2.0,3.0,0.6
29.11779119999924,0.7807926823372742,3.0,2.0,4.0,0.6
23.2803957999994,0.7806079992522444,3.0,2.0,5.0,0.6
22.143452699999454,0.7808704985730094,3.0,2.0,6.0,0.6
45.48414089999817,3.212409845933142,3.0,3.0,1.0,0.6
33.303158599999385,2.227333239368451,3.0,3.0,2.0,0.6
30.903324299999106,2.2014444852838007,3.0,3.0,3.0,0.6
31.076896699999455,1.6253726011232217,3.0,3.0,4.0,0.6
25.189538899999402,1.5843100651937863,3.0,3.0,5.0,0.6
23.782842699999442,1.5843850466888516,3.0,3.0,6.0,0.6
47.079869099998,3.3596785142715344,3.0,4.0,1.0,0.6
33.192642199999334,2.4765277308720015,3.0,4.0,2.0,0.6
32.76581039999941,2.804114512304857,3.0,4.0,3.0,0.6
32.48003129999957,2.1194259062102674,3.0,4.0,4.0,0.6
26.254302999999418,2.119876895651843,3.0,4.0,5.0,0.6
24.762856799999412,2.1199744431061047,3.0,4.0,6.0,0.6
51.171908099998106,3.568858577504573,3.0,5.0,1.0,0.6
34.092649599999305,2.287840949523476,3.0,5.0,2.0,0.6
32.99180939999956,2.803717098431327,3.0,5.0,3.0,0.6
32.82560969999954,2.1196477652700487,3.0,5.0,4.0,0.6
26.3256551999994,2.119620382843036,3.0,5.0,5.0,0.6
24.7124189999995,2.1198937423525863,3.0,5.0,6.0,0.6
39.77893389999744,4.955529677332553,3.0,6.0,1.0,0.6
34.99078599999944,2.50147208455902,3.0,6.0,2.0,0.6
35.62609879999951,3.080734635383248,3.0,6.0,3.0,0.6
31.508367799999483,2.8739601354363176,3.0,6.0,4.0,0.6
25.356349599999405,2.1196804074312925,3.0,6.0,5.0,0.6
23.754113299999442,2.1198463320684113,3.0,6.0,6.0,0.6
37.29556729999749,5.443956981364488,3.0,7.0,1.0,0.6
33.38451699999938,3.2382288532271932,3.0,7.0,2.0,0.6
35.464432699999364,3.672808860002566,3.0,7.0,3.0,0.6
31.299241899999497,3.1505246367999145,3.0,7.0,4.0,0.6
26.830487199999364,2.685425515422921,3.0,7.0,5.0,0.6
25.139700999999466,2.685688097444399,3.0,7.0,6.0,0.6
35.20854319999742,6.871815270670602,3.0,8.0,1.0,0.6
34.52413549999934,3.1084002782126516,3.0,8.0,2.0,0.6
34.5376143999995,3.6729559998775088,3.0,8.0,3.0,0.6
30.189591299999403,3.122260877106592,3.0,8.0,4.0,0.6
27.125391099999412,2.6853252419459106,3.0,8.0,5.0,0.6
25.31094269999948,2.685615740564234,3.0,8.0,6.0,0.6
32.962004599996725,6.871077748978252,3.0,9.0,1.0,0.6
36.35861879999913,3.065413947049607,3.0,9.0,2.0,0.6
35.783235499999286,3.6727038667600866,3.0,9.0,3.0,0.6
31.02537419999953,3.0662736795979804,3.0,9.0,4.0,0.6
27.848974699999424,2.6854363562786885,3.0,9.0,5.0,0.6
25.79597279999936,2.68551251775292,3.0,9.0,6.0,0.6
43.263650599997575,6.870927144696968,3.0,10.0,1.0,0.6
44.93955339999957,3.7045983318275715,3.0,10.0,2.0,0.6
40.83948699999953,3.7046332562818236,3.0,10.0,3.0,0.6
35.2992201999996,3.7038940574615826,3.0,10.0,4.0,0.6
30.6910457999995,3.7046914975656793,3.0,10.0,5.0,0.6
28.592443399999436,3.703866690773378,3.0,10.0,6.0,0.6
29.9012434999961,3.805162401046508,4.0,1.0,1.0,0.6
27.497474999998783,2.3603266382876655,4.0,1.0,2.0,0.6
26.751059399999082,1.5584665668912012,4.0,1.0,3.0,0.6
28.161600899999232,0.528347397163693,4.0,1.0,4.0,0.6
22.48726299999945,0.461888125919606,4.0,1.0,5.0,0.6
21.35849989999943,0.46209808805079877,4.0,1.0,6.0,0.6
44.738957499997895,3.5230054456563584,4.0,2.0,1.0,0.6
29.764411099998746,2.3010655809583906,4.0,2.0,2.0,0.6
28.895295899999105,1.558423137271823,4.0,2.0,3.0,0.6
30.190200699999203,0.7796098884891203,4.0,2.0,4.0,0.6
24.302343699999447,0.7798934103407812,4.0,2.0,5.0,0.6
23.156800599999407,0.7797439294199715,4.0,2.0,6.0,0.6
49.38224559999868,3.485842833790421,4.0,3.0,1.0,0.6
31.301256199999244,2.4878107574835515,4.0,3.0,2.0,0.6
30.63945739999927,2.815205185318997,4.0,3.0,3.0,0.6
31.71157569999946,1.75010621641361,4.0,3.0,4.0,0.6
25.79476909999938,1.7093047169715936,4.0,3.0,5.0,0.6
24.47933059999945,1.708991977763493,4.0,3.0,6.0,0.6
51.50627049999882,3.716054019764651,4.0,4.0,1.0,0.6
31.151332999998992,3.0882580703359546,4.0,4.0,2.0,0.6
32.51465199999948,3.413574286228063,4.0,4.0,3.0,0.6
33.13626009999949,2.2129489388506096,4.0,4.0,4.0,0.6
26.87980319999944,2.1723227126335742,4.0,4.0,5.0,0.6
25.4779422999995,2.1720911838766255,4.0,4.0,6.0,0.6
57.380701999999296,3.615231173871897,4.0,5.0,1.0,0.6
32.45522399999917,2.900448650116529,4.0,5.0,2.0,0.6
32.57915719999949,3.4134274804395535,4.0,5.0,3.0,0.6
33.32170049999954,2.2131208093112,4.0,5.0,4.0,0.6
26.798040099999433,2.1720326205405374,4.0,5.0,5.0,0.6
25.278891499999418,2.172022096309212,4.0,5.0,6.0,0.6
